Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000281314271092793,-0.00232093824972492,0.0187442604423227,0,0,0,0.0656002451111466,0.0001015640290354,5.44665608405109E-10,-5.74905560030545E-09,4.73014549137098E-05,-4.46099046853099E-06,0.000137571042581761,0,0,0,0,0,0,package://puppy_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://puppy_description/meshes/base_link.STL,,base_link-1,origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lb_link1,0.0139910660045694,0.0129616626428829,-0.0150640859057311,0,0,0,0.0101534902703093,4.75129190044601E-06,2.10473016237263E-08,1.88925228411051E-08,2.87659318790812E-06,2.14913235084379E-06,2.92897619209419E-06,0,0,0,0,0,0,package://puppy_description/meshes/lb_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://puppy_description/meshes/lb_link1.STL,,lb_link1-1,lb_coordinate1,lb_link1,lb_joint1,revolute,0.0420105649539,0.0778693100523862,0.0159880060021007,0.0342537604318887,0,0,base_link,0,0,-1,1000,10,-1.57,1.57,,,,,,,,
lb_link2,0.00324999997314566,-0.027300410242372,-0.0228963515721465,0,0,0,0.00545592599136945,4.05444909186535E-06,1.22299746346541E-15,5.35397125481513E-16,1.9788552174048E-06,-1.87063799891785E-06,2.19064599300148E-06,0,0,0,0,0,0,package://puppy_description/meshes/lb_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://puppy_description/meshes/lb_link2.STL,,lb_link2-2,lb_coordinate2,lb_link2,lb_joint2,revolute,0.0120498902789596,0.0525235728370777,-0.052877465200695,0,0,0,lb_link1,0,0,-1,1000,10,-1.57,1.57,,,,,,,,
rb_link1,-0.01399117355691,0.0129616152695224,-0.0150641319628959,0,0,0,0.0101536236284079,4.75129811236989E-06,-2.1017569726548E-08,-1.89306363229736E-08,2.87660393694748E-06,2.14913401997947E-06,2.92897914074097E-06,0,0,0,0,0,0,package://puppy_description/meshes/rb_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://puppy_description/meshes/rb_link1.STL,,rb_link1-1,rb_coordinate1,rb_link1,rb_joint1,revolute,-0.0420105649534512,0.0778693100523859,0.0159880060091649,0.0342537604318887,0,0,base_link,0,0,-1,1000,10,-1.57,1.57,,,,,,,,
rb_link2,0.00324999997319507,-0.027300410241394,-0.0228963515708773,0,0,0,0.00545592599106628,4.05444909186485E-06,1.22890997212443E-15,5.5049632107985E-16,1.97885521739198E-06,-1.87063799892702E-06,2.19064599300475E-06,0,0,0,0,0,0,package://puppy_description/meshes/rb_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://puppy_description/meshes/rb_link2.STL,,rb_link2-2,rb_coordinate2,rb_link2,rb_joint2,revolute,-0.0185498902789654,0.0525235728370851,-0.0528774652006949,0,0,0,rb_link1,0,0,-1,1000,10,-1.57,1.57,,,,,,,,
rf_link1,-0.01399117355409,0.0129616152700151,-0.0150641319635249,0,0,0,0.0101536236281805,4.75129811233804E-06,-2.1017569770552E-08,-1.89306363663801E-08,2.87660393692374E-06,2.14913401996578E-06,2.9289791407718E-06,0,0,0,0,0,0,package://puppy_description/meshes/rf_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://puppy_description/meshes/rf_link1.STL,,rf_link1-1,rf_coordinate1,rf_link1,rf_joint1,revolute,-0.0420105469986279,-0.0778692767711234,0.0106512951143373,0.0342537604318887,0,0,base_link,0,0,-1,1000,10,-1.57,1.57,,,,,,,,
rf_link2,0.00324999997320218,-0.0273004102414339,-0.0228963515707321,0,0,0,0.00545592599108903,4.05444909185018E-06,1.22817063923314E-15,5.50500791639953E-16,1.97885521739999E-06,-1.87063799891709E-06,2.19064599298264E-06,0,0,0,0,0,0,package://puppy_description/meshes/rf_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://puppy_description/meshes/rf_link2.STL,,rf_link2-2,rf_coordinate2,rf_link2,rf_joint2,revolute,-0.0185498902789602,0.0525235728370692,-0.0528774652007036,0,0,0,rf_link1,0,0,-1,1000,10,-1.57,1.57,,,,,,,,
lf_link1,0.013991093009336,0.0129615944298928,-0.0150641278151682,0,0,0,0.0101536321433225,4.75131109114716E-06,2.10480769743655E-08,1.88912920202068E-08,2.87660804474965E-06,2.14914102954077E-06,2.92898830803666E-06,0,0,0,0,0,0,package://puppy_description/meshes/lf_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://puppy_description/meshes/lf_link1.STL,,lf_link1-1,lf_coordinate1,lf_link1,lf_joint1,revolute,0.0420105469981795,-0.0778692767711239,0.0106512951072731,0.0342537604318887,0,0,base_link,0,0,-1,1000,10,-1.57,1.57,,,,,,,,
lf_link2,0.003249999973145,-0.0273004102423796,-0.0228963515721502,0,0,0,0.0054559259913707,4.05444909186631E-06,1.2230438959744E-15,5.35398811066927E-16,1.97885521740432E-06,-1.87063799891828E-06,2.19064599300295E-06,0,0,0,0,0,0,package://puppy_description/meshes/lf_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://puppy_description/meshes/lf_link2.STL,,lf_link2-2,lf_coordinate2,lf_link2,lf_joint2,revolute,0.0120498902789604,0.0525235728370695,-0.0528774652007036,0,0,0,lf_link1,0,0,-1,1000,10,-1.57,1.57,,,,,,,,
camera_link,7.8816314098059E-12,0.00830783337409231,-1.1027486424009E-09,0,0,0,0.00255589783563972,8.0750471256965E-08,6.5213060632267E-17,-9.04303283934642E-14,7.57695997997755E-08,1.85813457456822E-15,8.93985185103248E-08,0,0,0,0,0,0,package://puppy_description/meshes/camera_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://puppy_description/meshes/camera_link.STL,,camera-1,camera_coordinate,camera_link,camera_joint,fixed,0,-0.100686660929431,0.017109543359257,0.0342537604318887,0,0,base_link,0,0,0,,,,,,,,,,,,
